,kernel_size_1,kernel_size_2,pooling,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
83,11,3,max,0.4,tanh,0.2139263898134231,0.9348958134651184,1.0432965755462646,0.67578125,0.8484503030776978,0.7109375
81,11,3,max,0.2,tanh,0.0940975323319435,0.9856770634651184,1.0140491724014282,0.66796875,0.9023714065551758,0.703125
45,7,5,max,0.2,tanh,0.1756267696619033,0.9583333134651184,0.993392288684845,0.66015625,0.9443057775497437,0.6953125
19,5,5,max,0.0,tanh,0.1799157410860061,0.9817708134651184,0.980055570602417,0.66796875,0.9386301040649414,0.6953125
23,5,5,max,0.4,tanh,0.2249002456665039,0.9479166865348816,0.9096140265464784,0.6796875,1.0024806261062622,0.6953125
31,7,3,max,0.0,tanh,0.1112513914704322,0.9869791865348816,0.9766263961791992,0.66796875,0.9546256065368652,0.6875
57,9,3,max,0.2,tanh,0.2341462522745132,0.93359375,0.9946236610412598,0.67578125,0.8988302946090698,0.6875
9,5,3,max,0.2,tanh,0.269055038690567,0.9270833134651184,0.8917513489723206,0.6796875,0.9248247742652892,0.6796875
35,7,3,max,0.4,tanh,0.1516308039426803,0.9622395634651184,0.9797810316085817,0.6953125,0.9602517485618592,0.6796875
7,5,3,max,0.0,tanh,0.1559490710496902,0.984375,0.9063456058502196,0.69140625,0.9595231413841248,0.67578125
